stock_id,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl_dollar_gross,exit_reason
1101,long,1995-08-14,32.1,1000,1998-06-09,28.3,-3800.000000000001,StopLoss
1307,long,1997-10-17,19.9,4000,1998-06-10,18.0,-7599.9999999999945,StopLoss
1310,long,1998-06-01,24.1,2000,1998-06-15,23.9,-400.0000000000057,StopLoss
1414,long,1997-10-17,20.0,3000,1998-08-04,18.0,-6000.0,StopLoss
1307,long,1998-06-15,16.2,5000,1998-08-10,14.5,-8499.999999999996,StopLoss
1409,long,1993-01-08,13.2,9000,1998-08-21,11.8,-12599.999999999987,StopLoss
1603,long,1997-07-15,32.8,1000,1998-08-24,28.8,-3999.9999999999964,StopLoss
1316,long,1998-08-04,15.0,8000,1998-08-26,13.5,-12000.0,StopLoss
1210,long,1997-10-20,16.0,6000,1998-08-28,14.7,-7800.000000000005,StopLoss
1459,long,1998-06-09,19.2,4000,1998-08-28,17.2,-8000.0,StopLoss
1718,long,1998-08-21,18.9,4000,1998-08-28,14.7,-16799.999999999996,StopLoss
1416,long,1998-08-24,18.2,3000,1998-08-28,15.7,-7500.0,StopLoss
1203,long,1998-08-26,21.5,4000,1998-08-31,18.0,-14000.0,StopLoss
1437,long,1995-08-07,30.7,1000,1998-09-01,26.4,-4300.000000000001,StopLoss
1304,long,1998-08-28,15.2,7000,1998-09-01,13.6,-11199.999999999998,StopLoss
1409,long,1998-08-28,10.4,17000,1998-09-01,9.55,-14449.999999999995,StopLoss
1414,long,1998-08-28,12.8,7000,1998-09-01,11.5,-9100.000000000005,StopLoss
1314,long,1998-08-10,20.5,3000,1998-09-02,18.8,-5099.999999999998,StopLoss
1103,long,1995-08-14,19.1,3000,1998-11-10,16.3,-8400.000000000002,StopLoss
1452,long,1996-07-15,26.6,2000,1998-11-11,24.0,-5200.000000000003,StopLoss
1218,long,1998-09-01,14.8,7000,1998-12-21,13.3,-10500.0,StopLoss
1104,long,1998-11-11,15.6,7000,1998-12-28,14.7,-6300.000000000003,StopLoss
1201,long,1998-12-21,20.6,1000,1998-12-30,16.5,-4100.000000000002,StopLoss
1220,long,1998-09-01,15.2,8000,1999-01-05,14.15,-8399.99999999999,StopLoss
1103,long,1998-11-10,16.3,5000,1999-01-05,14.2,-10500.000000000007,StopLoss
1218,long,1998-12-28,12.0,13000,1999-01-05,10.8,-15599.99999999999,StopLoss
1101,long,1998-06-10,27.0,3000,1999-01-06,26.7,-900.0000000000022,StopLoss
1307,long,1998-08-28,12.5,12000,1999-01-06,11.5,-12000.0,StopLoss
1108,long,1999-01-05,13.4,9000,1999-01-14,12.5,-8100.000000000004,StopLoss
1103,long,1999-01-05,14.2,8000,1999-01-26,13.5,-5599.9999999999945,StopLoss
1102,long,1999-01-14,24.0,2000,1999-02-01,21.9,-4200.000000000003,StopLoss
1229,long,1997-10-28,17.3,4000,1999-02-02,14.8,-10000.0,StopLoss
1203,long,1998-08-31,18.0,4000,1999-02-02,14.7,-13200.000000000004,StopLoss
1110,long,1999-01-06,11.4,14000,1999-02-02,10.0,-19600.000000000004,StopLoss
1417,long,1999-01-26,12.95,8000,1999-02-02,11.15,-14399.99999999999,StopLoss
1442,long,1992-09-18,14.0,6000,1999-02-04,11.45,-15300.000000000004,StopLoss
1219,long,1998-09-01,9.8,20000,1999-02-04,9.65,-3000.0000000000073,StopLoss
1447,long,1999-02-01,12.25,9000,1999-02-04,10.5,-15750.0,StopLoss
1307,long,1999-02-02,10.6,13000,1999-02-04,9.05,-20149.999999999985,StopLoss
1437,long,1999-02-02,21.1,2000,1999-02-05,19.0,-4200.000000000003,StopLoss
1308,long,1992-09-17,24.7,2000,1999-04-01,48.0,46600.0,Regime_Exit
1309,long,1992-09-17,19.6,4000,1999-04-01,32.0,49599.99999999999,Regime_Exit
1313,long,1993-01-08,14.3,9000,1999-04-01,24.0,87300.0,Regime_Exit
1301,long,1998-09-01,35.8,1000,1999-04-01,58.0,22200.000000000004,Regime_Exit
1304,long,1998-09-02,14.0,7000,1999-04-01,28.1,98700.00000000001,Regime_Exit
1201,long,1998-12-30,16.5,2000,1999-04-01,18.6,4200.000000000003,Regime_Exit
1104,long,1999-01-05,12.55,10000,1999-04-01,15.4,28499.999999999996,Regime_Exit
1218,long,1999-01-06,11.4,11000,1999-04-01,13.2,19799.99999999999,Regime_Exit
1416,long,1999-02-02,8.65,15000,1999-04-01,12.2,53249.999999999985,Regime_Exit
1417,long,1999-02-02,11.15,9000,1999-04-01,15.8,41850.0,Regime_Exit
1101,long,1999-02-04,20.5,4000,1999-04-01,26.0,22000.0,Regime_Exit
1102,long,1999-02-04,20.3,3000,1999-04-01,25.4,15299.999999999993,Regime_Exit
1103,long,1999-02-04,10.6,11000,1999-04-01,13.95,36849.99999999999,Regime_Exit
1108,long,1999-02-04,10.5,13000,1999-04-01,13.8,42900.00000000001,Regime_Exit
1210,long,1999-02-05,11.2,14000,1999-04-01,13.3,29400.00000000002,Regime_Exit
